Employee_ID,Role ,years_exp,Current_CTC,Previous_CTC,Company,company_TYPE,Skills,Location,Education_Tier,Joining_Year,Work_Mode
BLR0810,UI Designer,0,10.4 LPA,,Cred,Unicorn,"GCP, JIRA, React, JavaScript, Kafka",,2,2024,Work from Office
BLR0346,Data Scientist,2,17.1,11.3,AgriTech Labs,EARLY-STAGE,"System Design, Redis, React, Docker, PowerBI, TensorFlow, PyTorch",Whitefield,T2,2022,WFH
BLR0121,Full Stack Engineer,1,15.2,10.8 LPA,Accenture,MNC,"Pandas, React, PowerBI, System Design, GCP, Figma",Outer Ring Road,Tier 2,2024,Hybrid (3 days)
BLR0208,DA,0,₹5.9 LPA,,FinNova,Early-stage,"MongoDB, Docker, PyTorch, System Design",Marathahalli,T2,2024,Work from Office
BLR0993,UI Designer,0,9.2,,Postman,Mid-size,"MongoDB, Spring Boot, GCP, Java, System Design, Python",Electronic City,1,2024,Hybrid
BLR0628,SDE Backend,1,16.2,9.9,Wipro,MNC,"NumPy, Kubernetes, Deep Learning, PostgreSQL",Marathahalli,2,2024,Remote
BLR0699,Designer,0,7.1,,Hasura,Mid-size,"JIRA, Kafka, Pandas",Electronic City,Tier-2,2024,Remote
BLR0398,Product Designer,4,19.0,14.5,AgriTech Labs,Early-stage,"SQL, JavaScript, Azure, Deep Learning",Sarjapur,T2,2021,WFH
BLR0924,BA,6,"5,270,000",43.8 LPA,Flipkart,Unicorn,"JIRA, JavaScript, ML, AWS, NumPy, System Design, TensorFlow",MG Road,T1,2023,Remote
BLR0779,Frontend Engineer,4,29.1,24.2 LPA,Zomato,Unicorn,"Sketch, Pandas, Microservices, Kafka, PowerBI, GCP, Node.js",Bellandur,T2,2024,Onsite
BLR0429,Product Lead,3,34.1 LPA,20.6,Amazon India,MNC,"Deep Learning, Java, PowerBI, Spring Boot",Whitefield,T2,2023,Onsite
BLR0220,SDE Frontend,5,28.5,20.1 LPA,Accenture,MNC,"PowerBI, System Design, Agile, Node.js",Jayanagar,Tier 2,2023,Onsite
BLR0747,UI/UX,1,10.7,9.0 LPA,Cognizant,mnc,"GCP, Figma, React, Spring Boot, System Design, Redis, JavaScript",Bellandur,Tier 3,2023,Hybrid (3 days)
BLR0079,BI Analyst,1,15.5,9.4,Cred,Unicorn,"TensorFlow, Azure, Figma, Node.js, Kafka, Kubernetes, PowerBI",MG Road,T1,2023,Work from Office
BLR0649,Full Stack Engineer,4,22.0 LPA,16.8,TCS,MNC,"TensorFlow, Java, Tableau",Jayanagar,T3,2022,Work from Office
BLR0979,Full Stack Engineer,2,23.7,15.7 LPA,Razorpay,unicorn,"Azure, MongoDB, Deep Learning, React, Agile",Bellandur,Tier-3,2024,WFH
BLR0738,Backend Dev,4,21.9,17.7 LPA,Zoho,Mid-size,"Excel, Tableau, Docker, Redis, JIRA, Python, Node.js",Electronic City,3,2020,Work from Office
BLR0039,BA,3,"2,450,000",17.1,Cognizant,MNC,"Deep Learning, PyTorch, Kubernetes, Figma, AWS, Spring Boot, Azure",Whitefield,Tier-2,2023,Hybrid
BLR0601,Sr PM,3,42.2 LPA,34.8 LPA,Unacademy,Unicorn,"PostgreSQL, AWS, Agile, JIRA, MongoDB, Kubernetes, SQL",Electronic City,3,2021,Work from Office
BLR0420,Data Scientist,6,34.7,23.2 LPA,MoEngage,Mid-size,"GCP, Docker, Figma, Azure, JIRA, Spring Boot, Agile",MG Road,Tier 1,2024,Hybrid
BLR0841,FE,6,27.7 LPA,19.8,EdMint,Early-stage,"ML, MongoDB, GCP",Sarjapur,Tier-2,2022,Onsite
BLR0185,DA,3,15.4,11.1 LPA,Cognizant,MNC,"Python, Kubernetes, Azure, Redis",Outer Ring Road,Tier-3,2022,Hybrid
BLR0630,BA,3,"1,650,000",12.7,AgriTech Labs,Early-stage,"AWS, Node.js, JavaScript, SQL, Deep Learning, Redis",Whitefield,T3,2022,Hybrid (3 days)
BLR0234,DS,0,₹11.2 LPA,,FinNova,Early-stage,"Spring Boot, Kubernetes, Figma, PyTorch, Azure, TensorFlow",Marathahalli,Tier-1,2024,WFH
BLR0235,SDE-Backend,3,22.1,,Capgemini,mnc,"NumPy, PostgreSQL, System Design, SQL, AWS, Docker",Sarjapur,3,2023,WFH
BLR0987,Site Reliability Engineer,1,"1,510,000",9.7 LPA,Cred,Unicorn,"Spring Boot, Azure, Excel",Bellandur,Tier 3,2023,Hybrid
BLR0793,SDE Backend,3,20.9 LPA,14.9,HCL,MNC,"Tableau, React, AWS, Figma, Java, Node.js",Indiranagar,3,2021,Hybrid (3 days)
BLR0055,Product Lead,3,36.1,23.6,Cred,Unicorn,"Excel, Java, Sketch, SQL, React, Node.js, PostgreSQL",Electronic City,2,2022,Hybrid (3 days)
BLR0371,DS,7,46.1 LPA,35.7,MoEngage,Mid-size,"Spring Boot, PowerBI, JavaScript, Deep Learning",HSR Layout,T1,2023,Work from Office
BLR0496,SDE Backend,4,₹27.6 LPA,23.4,EdMint,Early-stage,"Redis, PowerBI, Spring Boot, ML, AWS, Deep Learning, JIRA",HSR Layout,Tier-3,2020,Work from Office
BLR0718,Full Stack Engineer,8,41.1 LPA,28.8,Hasura,MID-SIZE,"PyTorch, GCP, Kubernetes, TensorFlow",Koramangala,Tier 2,2022,Hybrid
BLR0422,Data Analyst,3,17.0 LPA,13.6,QuickPay AI,Early-stage,"JavaScript, MongoDB, JIRA, Spring Boot, Deep Learning, System Design, GCP",HSR Layout,T2,2023,Onsite
BLR0724,Frontend Engineer,0,₹8.1 LPA,,IBM,MNC,"Agile, Node.js, Sketch, AWS",Whitefield,T3,2024,WFH
BLR0822,DevOps,3,28.3,17.3,Ola,unicorn,"Spring Boot, AWS, Figma, React, PyTorch, Excel",Bellandur,3,2022,Hybrid
BLR0504,Data Scientist,2,"2,020,000",16.9,IBM,MNC,"Microservices, PostgreSQL, Java, Spring Boot, Figma, Kubernetes, SQL",HSR Layout,3,2024,Hybrid
BLR0926,Data Analyst,8,24.8 LPA,15.4 LPA,DataMint,Early-stage,"Agile, PyTorch, Python, PowerBI, MongoDB, Kafka, Tableau",Indiranagar,3,2022,Onsite
BLR0311,DS,7,36.6,22.9 LPA,Chargebee,Mid-size,"Redis, SQL, GCP, Figma, Java, PostgreSQL",Koramangala,Tier-2,2022,WFH
BLR0555,BI Analyst,4,"1,920,000",11.6,Amazon India,MNC,"GCP, Figma, Tableau, Azure, Kubernetes",Indiranagar,2,2020,Hybrid
BLR0809,Business Analyst,3,18.9,13.4 LPA,BrowserStack,Mid-size,"Docker, Deep Learning, Excel, Node.js, Redis, Java",Marathahalli,T2,2023,Onsite
BLR0074,BA,7,39.1,28.4 LPA,TCS,MNC,"Microservices, ML, Spring Boot, Java, Tableau",MG Road,T3,2023,WFH
BLR0009,SDE Frontend,6,32.2,23.1,Razorpay,Unicorn,"AWS, Tableau, React, MongoDB, PowerBI, Kafka",Koramangala,Tier-3,2024,Remote
BLR0896,Business Analyst,4,23.4 LPA,19.6 LPA,Google India,MNC,"Figma, PowerBI, Docker, Deep Learning, GCP, Java, NumPy",Jayanagar,2,2021,Work from Office
BLR0509,Backend Developer,0,"1,320,000",,Zoho,Mid-size,"Java, System Design, SQL, NumPy, AWS, ML, Tableau",MG Road,Tier-1,2024,Work from Office
BLR0517,Site Reliability Engineer,1,15.1,10.4 LPA,Infosys,MNC,"AWS, Spring Boot, JavaScript, Tableau",HSR Layout,Tier-1,2024,Work from Office
BLR0217,Business Analyst,6,38.3 LPA,27.7,Amazon India,mnc,"Deep Learning, MongoDB, Node.js, Python, Excel, ML, PostgreSQL",HSR Layout,Tier 2,2020,Hybrid (3 days)
BLR0569,Backend Developer,1,12.5 LPA,9.1 LPA,Cognizant,MNC,"Excel, Kubernetes, Python, Redis, Sketch",MG Road,T3,2024,Remote
BLR0320,Business Systems Analyst,0,"1,150,000",,IBM,MNC,"Deep Learning, ML, PowerBI",Electronic City,1,2024,Work from Office
BLR0957,DS,1,19.1 LPA,11.6,Wipro,MNC,"Deep Learning, PowerBI, SQL",Bellandur,Tier-2,2023,Hybrid (3 days)
BLR0585,Sr PM,1,20.5 LPA,15.7 LPA,Cognizant,MNC,"JavaScript, Figma, MongoDB, Kafka, Redis, Docker",MG Road,3,2023,Hybrid
BLR0053,UI/UX,4,22.0 LPA,14.4 LPA,Zoho,Mid-size,"ML, Figma, Microservices, PostgreSQL, TensorFlow, MongoDB",Electronic City,2,2020,Work from Office
BLR0216,Data Scientist,4,24.6 LPA,16.5,Wipro,MNC,"Pandas, Spring Boot, PyTorch",Jayanagar,Tier-2,2020,Hybrid
BLR0331,UI/UX,6,28.3,23.0,TCS,MNC,"Tableau, Azure, Pandas",Whitefield,2,2020,WFH
BLR0643,FE,3,23.2 LPA,18.6,Ola,Unicorn,"SQL, Docker, Excel, Kubernetes",Indiranagar,Tier 2,2021,Hybrid
BLR0119,Data Science Engineer,1,"1,590,000",10.9,QuickPay AI,Early-stage,"PyTorch, GCP, ML",Indiranagar,Tier 1,2023,Hybrid
BLR0821,FullStack,7,26.4 LPA,17.0,Hasura,Mid-size,"Python, Node.js, Figma",Sarjapur,Tier 3,2020,Work from Office
BLR0753,BE,2,"2,190,000",17.0,Meesho,Unicorn,"NumPy, Azure, TensorFlow",Koramangala,Tier-1,2024,WFH
BLR0655,Product Manager,1,₹20.6 LPA,,Hasura,Mid-size,"ML, Kafka, Azure, React, Python, Tableau, PowerBI",Outer Ring Road,Tier-2,2023,Remote
BLR0294,Data Analyst,5,23.6 LPA,18.5 LPA,Hasura,Mid-size,"Node.js, Microservices, ML, Python",Bellandur,3,2020,Remote
BLR0894,Product Lead,2,24.1,15.4 LPA,FinNova,Early-stage,"Excel, Figma, ML, PowerBI",HSR Layout,Tier-1,2022,Hybrid (3 days)
BLR0642,BA,2,14.2,11.0 LPA,BrowserStack,Mid-size,"Excel, TensorFlow, JavaScript, Python",Whitefield,Tier 2,2022,Onsite
BLR0682,UI Designer,4,24.1,19.1,Swiggy,Unicorn,"Agile, Azure, Java",Marathahalli,3,2021,Hybrid (3 days)
BLR0401,Frontend Dev,2,18.7,13.7,Freshworks,Mid-size,"Docker, ML, Tableau, Node.js, TensorFlow, Microservices, Python",Jayanagar,1,2023,Hybrid
BLR0800,Product Manager,7,42.5 LPA,34.7,Hasura,mid-size,"Pandas, PowerBI, Spring Boot, React, Kafka",HSR Layout,Tier-2,2020,Hybrid (3 days)
BLR0406,Designer,4,27.3,18.8 LPA,Unacademy,Unicorn,"JIRA, MongoDB, System Design",HSR Layout,T3,2022,Work from Office
BLR0477,Data Analyst,4,16.9,13.1 LPA,EdMint,Early-stage,"Agile, React, PyTorch, Sketch, MongoDB",Indiranagar,T1,2024,Onsite
BLR0908,Frontend Engineer,5,25.2 LPA,21.0,Amazon India,MNC,"Kafka, Tableau, TensorFlow, Node.js, Kubernetes",Jayanagar,Tier 2,2021,Remote
BLR0961,UI Designer,5,25.9 LPA,,TechCrush Labs,Early-stage,"Tableau, Kubernetes, MongoDB, PostgreSQL",Bellandur,Tier 1,2023,WFH
BLR0751,Data Scientist,2,"1,939,999",16.3,Google India,MNC,"Tableau, MongoDB, Node.js, Microservices, JavaScript, Docker",Sarjapur,Tier-3,2024,WFH
BLR0317,Sr PM,1,20.2 LPA,17.1 LPA,TechCrush Labs,Early-stage,"Node.js, NumPy, Pandas, JIRA, Kubernetes",HSR Layout,1,2023,Onsite
BLR0281,Frontend Developer,7,30.4,20.9 LPA,TCS,MNC,"JavaScript, Spring Boot, React, Pandas, Figma",Outer Ring Road,Tier 3,2024,Remote
BLR0438,Backend Engineer,6,34.6 LPA,26.7,Microsoft India,MNC,"PyTorch, ML, NumPy, Figma",MG Road,Tier 2,2024,Hybrid (3 days)
BLR0071,Product Designer,6,26.3 LPA,18.7,Freshworks,Mid-size,"Tableau, Docker, Kubernetes, JavaScript",HSR Layout,2,2022,Onsite
BLR0807,Designer,3,20.5 LPA,12.7 LPA,Hasura,Mid-size,"JavaScript, Pandas, NumPy, Microservices, Figma, System Design, JIRA",Bellandur,Tier 1,2021,Hybrid
BLR0426,Data Analyst,3,16.7,13.8 LPA,DataMint,early-stage,"Python, Azure, TensorFlow, Deep Learning",Electronic City,T2,2024,Onsite
BLR0659,Full Stack Engineer,1,15.7 LPA,,Hasura,Mid-size,"Figma, SQL, Deep Learning, ML",Electronic City,T2,2023,Hybrid
BLR0941,Product Lead,1,26.4 LPA,18.8,Flipkart,Unicorn,"Sketch, System Design, MongoDB, Python, Redis",Indiranagar,Tier 3,2023,WFH
BLR0328,Backend Developer,2,16.4,13.7 LPA,Capgemini,MNC,"Azure, Spring Boot, SQL, NumPy, Python, TensorFlow",Indiranagar,2,2022,Onsite
BLR0149,UX Designer,10,38.3 LPA,32.3,MoEngage,Mid-size,"Pandas, Docker, Java, Deep Learning",Outer Ring Road,T3,2023,Hybrid (3 days)
BLR0877,SDE Backend,3,"1,570,000",9.6,TechCrush Labs,Early-stage,"Spring Boot, Tableau, TensorFlow, Redis, JIRA",Koramangala,Tier 1,2023,Remote
BLR0621,BI Analyst,4,19.0 LPA,12.5,Hasura,Mid-size,"Redis, Spring Boot, Figma, React, ML",Marathahalli,Tier 2,2022,Onsite
BLR0592,UI/UX,4,29.8 LPA,20.5,Flipkart,Unicorn,"Python, Agile, Kubernetes, Deep Learning, Docker, JIRA, PowerBI",Bellandur,T3,2023,Hybrid
BLR0150,Product Manager,12,80.1 LPA,59.8,Chargebee,Mid-size,"JIRA, MongoDB, Redis, Java, Deep Learning",Indiranagar,2,2024,Work from Office
BLR0742,Business Systems Analyst,0,9.2 LPA,,Postman,Mid-size,"Node.js, PostgreSQL, MongoDB, Kubernetes, ML, GCP, Redis",MG Road,Tier-2,2024,Hybrid (3 days)
BLR0089,Data Scientist,2,₹18.9 LPA,13.8 LPA,BrowserStack,Mid-size,"Python, MongoDB, Kubernetes, Redis",Indiranagar,T2,2022,WFH
BLR0107,SDE Frontend,2,15.8,11.1 LPA,Walmart Labs,MNC,"Kubernetes, ML, JavaScript, Java, Python, Docker",Bellandur,Tier 3,2023,Work from Office
BLR0226,Infra Engineer,0,13.3,,MoEngage,Mid-size,,MG Road,2,2024,Hybrid
BLR0507,PM,1,13.8 LPA,9.7,AgriTech Labs,EARLY-STAGE,"Spring Boot, React, PostgreSQL, Pandas, Kafka, Redis",Koramangala,T2,2023,WFH
BLR0916,SDE-Backend,8,49.8 LPA,31.1,Microsoft India,MNC,"React, System Design, Figma, Kubernetes, ML",Koramangala,Tier 3,2024,Remote
BLR0158,Designer,2,18.8 LPA,13.5 LPA,Capgemini,MNC,"PostgreSQL, JIRA, Node.js, Microservices, Kubernetes, System Design, Java",Bellandur,2,2024,Work from Office
BLR0648,Sr PM,8,₹49.4 LPA,31.2,FinNova,early-stage,"SQL, Figma, Kubernetes, PostgreSQL, Deep Learning, Python",Sarjapur,3,2020,Hybrid (3 days)
BLR0127,PM,1,"2,200,000",17.4 LPA,Freshworks,Mid-size,"ML, JIRA, Kubernetes",,Tier-3,2024,Hybrid
BLR0367,SDE FS,6,"3,070,000",19.6,Capgemini,mnc,"Kubernetes, Azure, TensorFlow, Microservices, PostgreSQL",Bellandur,3,2022,Work from Office
BLR0734,Data Analyst,2,"1,470,000",9.5,Wipro,MNC,"Microservices, NumPy, Node.js, Sketch, Java, Python",Jayanagar,Tier-2,2023,Onsite
BLR0327,FullStack,2,18.2,15.4,Swiggy,Unicorn,"Agile, Pandas, JIRA, Python, PyTorch, PowerBI",Jayanagar,Tier-2,2022,Onsite
BLR0144,SDE-Backend,4,"2,039,999",16.0 LPA,EdMint,Early-stage,"JavaScript, JIRA, Pandas, React, Kubernetes, MongoDB, Java",MG Road,T3,2024,Hybrid (3 days)
BLR0104,Sr PM,3,24.6,18.1,TechCrush Labs,Early-stage,"Azure, AWS, Sketch",Koramangala,Tier-3,2023,Remote
BLR0859,UI Designer,4,21.0,14.2 LPA,MoEngage,Mid-size,"Agile, System Design, Microservices, PowerBI",Bellandur,2,2020,Hybrid (3 days)
BLR0424,Data Science Engineer,7,"2,580,000",16.3,TechCrush Labs,Early-stage,"MongoDB, PostgreSQL, Redis, Python",Sarjapur,Tier 2,2022,Work from Office
BLR0443,FullStack,6,38.0 LPA,30.2,Meesho,Unicorn,"PyTorch, Agile, Kafka",MG Road,Tier 2,2023,Hybrid (3 days)
BLR0573,BI Analyst,1,11.0 LPA,6.8 LPA,Google India,MNC,"Sketch, Node.js, GCP, Kubernetes, Redis",Indiranagar,Tier-3,2024,Remote
BLR0548,DevOps Engineer,7,32.4 LPA,21.5 LPA,Postman,Mid-size,"System Design, Spring Boot, Java, PyTorch, Sketch",Indiranagar,3,2024,Work from Office
BLR0864,ML Engineer,5,30.3 LPA,24.8 LPA,Chargebee,Mid-size,"JavaScript, Deep Learning, PowerBI, Excel, Sketch, Azure, PostgreSQL",Sarjapur,3,2020,Hybrid (3 days)
BLR0629,DevOps,4,24.5 LPA,16.7 LPA,Wipro,MNC,"Tableau, Python, JIRA, System Design",Sarjapur,2,2022,Onsite
BLR0495,SDE-Frontend,1,12.8 LPA,8.6 LPA,Chargebee,Mid-size,"Java, System Design, TensorFlow, Docker, React, Python",Indiranagar,3,2023,Work from Office
BLR0431,SDE-Backend,2,20.5,12.4 LPA,Zomato,unicorn,"React, PostgreSQL, Node.js, Pandas, MongoDB, Agile",Whitefield,2,2024,Work from Office
BLR0272,DS,1,24.7,19.0 LPA,TCS,MNC,"NumPy, Azure, PyTorch, PostgreSQL, System Design, Microservices, AWS",HSR Layout,T1,2023,Onsite
BLR0358,DS,4,29.3 LPA,23.4 LPA,TCS,MNC,"Spring Boot, Agile, PyTorch, Excel, JIRA, Kubernetes",Sarjapur,2,2023,Hybrid
BLR0848,SDE Backend,0,10.2 LPA,,Swiggy,Unicorn,"Docker, Node.js, Kubernetes",MG Road,T3,2024,WFH
BLR0672,SDE Frontend,0,6.7 LPA,,Freshworks,Mid-size,"Pandas, Sketch, Java, Redis, Figma, Spring Boot",Koramangala,Tier 3,2024,Hybrid (3 days)
BLR0111,Data Analyst,6,23.7,17.2,MoEngage,Mid-size,"System Design, Docker, Azure, GCP",Koramangala,Tier-3,2021,Hybrid (3 days)
BLR0247,Site Reliability Engineer,7,55.0 LPA,46.2,Cred,unicorn,"System Design, Sketch, AWS, Kubernetes, Docker",Koramangala,Tier-2,2024,Work from Office
BLR0576,Backend Developer,2,13.0,,FinNova,Early-stage,"Kubernetes, React, MongoDB, Docker, Python, Java",Marathahalli,2,2023,Hybrid
BLR0275,DA,1,10.4 LPA,7.6,HCL,MNC,"Azure, Sketch, Docker, Excel, Node.js",Marathahalli,T2,2024,Onsite
BLR0287,Product Lead,2,"1,889,999",,FinNova,Early-stage,"React, Kafka, PowerBI, Excel, Java, Agile",Electronic City,2,2023,WFH
BLR0518,Analytics Engineer,4,17.7,12.3,IBM,MNC,"Java, PowerBI, React, JavaScript",Bellandur,2,2020,Hybrid (3 days)
BLR0915,Product Manager,1,19.7 LPA,11.9,Freshworks,Mid-size,"MongoDB, NumPy, Tableau, PostgreSQL, Python",Bellandur,Tier 2,2024,Remote
BLR0967,Business Analyst,8,29.3 LPA,21.9,Zoho,Mid-size,"TensorFlow, PyTorch, SQL, MongoDB, Pandas",Jayanagar,Tier-3,2023,Onsite
BLR0120,Data Scientist,3,21.8,,Microsoft India,MNC,"Spring Boot, Docker, PowerBI, GCP, Agile",Indiranagar,Tier 3,2022,Hybrid (3 days)
BLR0519,BA,1,12.6 LPA,8.3 LPA,Postman,mid-size,"React, Agile, Node.js, Pandas, Python, Kubernetes, Java",Koramangala,Tier-1,2023,Onsite
BLR0875,Frontend Developer,4,₹21.0 LPA,16.7 LPA,Zoho,Mid-size,"JavaScript, Excel, Redis, Kafka, JIRA, Node.js",Outer Ring Road,1,2023,Hybrid
BLR0866,Backend Developer,2,15.6 LPA,,EdMint,Early-stage,"System Design, Spring Boot, Redis, TensorFlow, ML",Electronic City,T3,2023,WFH
BLR0785,Analytics Engineer,0,"680,000",,MoEngage,Mid-size,"PostgreSQL, MongoDB, Pandas, JIRA, Java, Agile",Jayanagar,Tier 3,2024,Hybrid
BLR0712,SDE-Backend,2,20.3,14.9,Walmart Labs,MNC,"Microservices, Node.js, Docker, AWS, MongoDB, Python, Agile",Outer Ring Road,Tier-2,2024,Onsite
BLR0314,DA,0,"960,000",,Hasura,Mid-size,"Agile, ML, Node.js",MG Road,Tier-1,2024,Hybrid
BLR0369,UI/UX,3,20.4,14.7,Infosys,MNC,"Deep Learning, Node.js, JavaScript, React, Tableau, TensorFlow",Jayanagar,T1,2022,Hybrid (3 days)
BLR0545,Product Manager,6,46.6,35.9 LPA,BYJU'S,Unicorn,"Node.js, Pandas, JIRA, Spring Boot",Marathahalli,2,2023,Work from Office
BLR0339,Infra Engineer,2,15.7 LPA,9.9,Chargebee,Mid-size,"PowerBI, Pandas, System Design, TensorFlow, PyTorch",MG Road,Tier-3,2022,WFH
BLR0698,UX Designer,5,₹25.1 LPA,,Accenture,MNC,"SQL, GCP, Python",Outer Ring Road,2,2023,Onsite
BLR0008,Fullstack Dev,3,20.9 LPA,13.7 LPA,Postman,Mid-size,"Spring Boot, Docker, Deep Learning, Microservices",Whitefield,Tier-2,2024,Hybrid
BLR0175,UI/UX,0,10.1 LPA,,Flipkart,Unicorn,"Docker, Microservices, GCP, React",Sarjapur,2,2024,Hybrid (3 days)
BLR0803,UX Designer,5,42.3 LPA,35.4,PhonePe,unicorn,"AWS, ML, Deep Learning, Redis, Java",Electronic City,T3,2024,WFH
BLR0043,SDE Full-Stack,3,20.9,14.1,Microsoft India,MNC,"Spring Boot, GCP, PyTorch, Figma, Docker, AWS",Bellandur,Tier 3,2021,Hybrid (3 days)
BLR0627,Frontend Developer,2,₹23.1 LPA,14.2,Meesho,Unicorn,"TensorFlow, System Design, Redis, Deep Learning, Spring Boot, React, Tableau",MG Road,Tier-3,2024,WFH
BLR0266,Frontend Dev,1,17.8 LPA,14.1 LPA,Capgemini,MNC,"JavaScript, PowerBI, Tableau, ML, Kubernetes, Microservices",Whitefield,Tier 1,2024,WFH
BLR0923,UI/UX,5,22.0,15.2,Chargebee,Mid-size,"PostgreSQL, MongoDB, Kafka, SQL, AWS",Electronic City,Tier 2,2023,WFH
BLR0158,Designer,2,18.8 LPA,13.5 LPA,Capgemini,MNC,"PostgreSQL, JIRA, Node.js, Microservices, Kubernetes, System Design, Java",Bellandur,2,2024,Work from Office
BLR0631,ML Engineer,1,"2,220,000",16.0,Flipkart,Unicorn,"Figma, Kubernetes, AWS, Pandas",Outer Ring Road,2,2024,Remote
BLR0363,SDE-Backend,1,13.0,9.7 LPA,Accenture,MNC,"TensorFlow, Sketch, Deep Learning, PowerBI, Node.js",Marathahalli,Tier 2,2023,WFH
BLR0599,Product Lead,2,24.5,20.2 LPA,QuickPay AI,Early-stage,"Excel, Python, System Design, Spring Boot, Deep Learning",Indiranagar,T3,2024,Hybrid (3 days)
BLR0464,SDE Backend,3,24.1 LPA,18.7 LPA,Google India,MNC,"Sketch, Excel, Spring Boot, Deep Learning",Jayanagar,1,2024,Hybrid (3 days)
BLR0140,Backend Engineer,4,"3,429,999",28.7,Cred,unicorn,"NumPy, ML, PostgreSQL, PowerBI, Azure, Node.js",Indiranagar,2,2021,Hybrid
BLR0169,Backend Dev,1,"1,120,000",,MoEngage,Mid-size,"PyTorch, Redis, PowerBI",Jayanagar,Tier-3,2023,Work from Office
BLR0590,BE,5,₹25.2 LPA,17.2 LPA,Chargebee,Mid-size,"Java, NumPy, TensorFlow, MongoDB, Node.js, Figma, AWS",Sarjapur,T2,2021,WFH
BLR0110,Data Science Engineer,2,16.9,13.0,SaasGo,Early-stage,"Agile, PowerBI, Redis, Azure, Kubernetes, Deep Learning",MG Road,3,2022,WFH
BLR0163,SDE Backend,4,25.9,20.9 LPA,HCL,MNC,"Pandas, Spring Boot, React, AWS, Microservices",Outer Ring Road,Tier 2,2020,Remote
BLR0023,PM,1,₹19.4 LPA,14.3,Microsoft India,MNC,"Figma, Sketch, PostgreSQL",Electronic City,2,2024,WFH
BLR0572,BE,7,36.2,27.4,Infosys,MNC,"Python, React, System Design, SQL",MG Road,Tier-2,2020,WFH
BLR0660,Sr PM,6,49.5,29.9,Meesho,Unicorn,"Java, Azure, Figma, Agile, Excel, SQL, PowerBI",Outer Ring Road,T3,2020,Remote
BLR0857,ML Engineer,3,₹22.1 LPA,14.0,Wipro,mnc,"Redis, React, Python",MG Road,T2,2023,Work from Office
BLR0855,DevOps Engineer,0,11.4,,Postman,Mid-size,"Deep Learning, Microservices, SQL, NumPy",Electronic City,T2,2024,WFH
