comment_id,post_id,topic,comment_text,true_label_sim,trigger_hits,subjectivity,relatability_score,predicted_label
C00057,P0017,Family Pressure,this explains so much about me,Relatable,1,0.2,1.08,Relatable
C00058,P0017,Family Pressure,interesting,Neutral,0,0.5,0.2,Neutral
C00059,P0018,Imposter Syndrome,I relate to this on a spiritual level,Relatable,2,0.133,2.053,Relatable
C00060,P0018,Imposter Syndrome,I felt this in my soul,Relatable,2,0.0,2.0,Relatable
C00061,P0018,Imposter Syndrome,what's the song name,Neutral,0,0.0,0.0,Neutral
C00062,P0018,Imposter Syndrome,what camera do you use,Neutral,0,0.0,0.0,Neutral
C00063,P0018,Imposter Syndrome,love the music choice,Neutral,0,0.6,0.24,Neutral
C00064,P0020,Family Pressure,what camera do you use,Neutral,0,0.0,0.0,Neutral
C00065,P0020,Family Pressure,love the music choice,Neutral,0,0.6,0.24,Neutral
C00066,P0021,Dating,this is exactly what I go through,Relatable,1,0.25,1.1,Relatable
C00067,P0021,Dating,this hit different,Relatable,1,0.6,1.24,Relatable
C00068,P0022,Loneliness,this is exactly what I go through,Relatable,1,0.25,1.1,Relatable
C00069,P0022,Loneliness,omg I needed to hear this today,Relatable,1,0.0,1.0,Relatable
C00070,P0022,Loneliness,love the music choice,Neutral,0,0.6,0.24,Neutral
C00071,P0022,Loneliness,I relate to this on a spiritual level,Relatable,2,0.133,2.053,Relatable
C00072,P0023,Social Anxiety,great quality,Neutral,0,0.75,0.3,Neutral
C00073,P0023,Social Anxiety,I thought I was the only one who felt this way,Relatable,2,1.0,2.4,Relatable
C00074,P0023,Social Anxiety,this hit different,Relatable,1,0.6,1.24,Relatable
C00075,P0023,Social Anxiety,love your page,Neutral,0,0.6,0.24,Neutral
C00076,P0024,Body Image,love your page,Neutral,0,0.6,0.24,Neutral
C00077,P0024,Body Image,I thought I was the only one who felt this way,Relatable,2,1.0,2.4,Relatable
C00078,P0025,Body Image,I've never related to something more,Relatable,1,0.45,1.18,Relatable
C00079,P0025,Body Image,what's the song name,Neutral,0,0.0,0.0,Neutral
C00080,P0026,Overthinking,interesting,Neutral,0,0.5,0.2,Neutral
C00081,P0026,Overthinking,cool content,Neutral,0,0.65,0.26,Neutral
C00082,P0027,Friendship Fallouts,what app did you use for this,Neutral,0,0.0,0.0,Neutral
C00083,P0027,Friendship Fallouts,nice,Neutral,0,1.0,0.4,Relatable
C00084,P0027,Friendship Fallouts,this is exactly what I go through,Relatable,1,0.25,1.1,Relatable
C00085,P0027,Friendship Fallouts,nice,Neutral,0,1.0,0.4,Relatable
C00086,P0028,Dating,omg I needed to hear this today,Relatable,1,0.0,1.0,Relatable
C00087,P0028,Dating,interesting,Neutral,0,0.5,0.2,Neutral
C00088,P0028,Dating,omg I needed to hear this today,Relatable,1,0.0,1.0,Relatable
C00089,P0029,Family Pressure,first,Neutral,0,0.333,0.133,Neutral
C00090,P0029,Family Pressure,this is literally me,Relatable,1,0.0,1.0,Relatable
C00091,P0029,Family Pressure,I thought I was the only one who felt this way,Relatable,2,1.0,2.4,Relatable
C00092,P0030,Friendship Fallouts,nice video,Neutral,0,1.0,0.4,Relatable
C00093,P0030,Friendship Fallouts,cool content,Neutral,0,0.65,0.26,Neutral
C00094,P0030,Friendship Fallouts,how did you describe my exact thoughts,Relatable,1,0.25,1.1,Relatable
C00095,P0031,Career Burnout,I felt this in my soul,Relatable,2,0.0,2.0,Relatable
C00096,P0031,Career Burnout,I thought I was the only one who felt this way,Relatable,2,1.0,2.4,Relatable
C00097,P0031,Career Burnout,love the music choice,Neutral,0,0.6,0.24,Neutral
C00098,P0031,Career Burnout,this explains so much about me,Relatable,1,0.2,1.08,Relatable
C00099,P0031,Career Burnout,cool content,Neutral,0,0.65,0.26,Neutral
C00100,P0032,Family Pressure,nice video,Neutral,0,1.0,0.4,Relatable
C00101,P0032,Family Pressure,I felt this so deeply,Relatable,1,0.4,1.16,Relatable
C00102,P0032,Family Pressure,the background is nice,Neutral,0,1.0,0.4,Relatable
C00103,P0032,Family Pressure,posted at a good time,Neutral,0,0.6,0.24,Neutral
C00104,P0032,Family Pressure,what's the song name,Neutral,0,0.0,0.0,Neutral
C00105,P0033,Friendship Fallouts,cute outfit,Neutral,0,1.0,0.4,Relatable
C00106,P0033,Friendship Fallouts,good editing,Neutral,0,0.6,0.24,Neutral
C00107,P0034,Dating,no because this is so accurate it hurts,Relatable,2,0.633,2.253,Relatable
C00108,P0034,Dating,cute outfit,Neutral,0,1.0,0.4,Relatable
C00109,P0034,Dating,interesting,Neutral,0,0.5,0.2,Neutral
C00110,P0035,Family Pressure,clean transitions,Neutral,0,0.7,0.28,Neutral
C00111,P0035,Family Pressure,love the music choice,Neutral,0,0.6,0.24,Neutral
C00112,P0035,Family Pressure,love the music choice,Neutral,0,0.6,0.24,Neutral
C00113,P0035,Family Pressure,good lighting,Neutral,0,0.6,0.24,Neutral
C00114,P0035,Family Pressure,nice,Neutral,0,1.0,0.4,Relatable
C00115,P0035,Family Pressure,following for more,Neutral,0,0.3,0.12,Neutral
C00116,P0036,Dating,this hit different,Relatable,1,0.6,1.24,Relatable
C00117,P0036,Dating,love the music choice,Neutral,0,0.6,0.24,Neutral
C00118,P0036,Dating,this is way too real,Relatable,0,0.3,0.12,Neutral
C00119,P0036,Dating,love your page,Neutral,0,0.6,0.24,Neutral
C00120,P0036,Dating,posted at a good time,Neutral,0,0.6,0.24,Neutral
C00121,P0037,Family Pressure,I felt this in my soul,Relatable,2,0.0,2.0,Relatable
C00122,P0037,Family Pressure,stop reading my mind,Relatable,1,0.0,1.0,Relatable
C00123,P0038,Career Burnout,good lighting,Neutral,0,0.6,0.24,Neutral
C00124,P0038,Career Burnout,this is exactly what I go through,Relatable,1,0.25,1.1,Relatable
C00125,P0038,Career Burnout,love the music choice,Neutral,0,0.6,0.24,Neutral
C00126,P0038,Career Burnout,how did you describe my exact thoughts,Relatable,1,0.25,1.1,Relatable
C00127,P0039,Family Pressure,interesting,Neutral,0,0.5,0.2,Neutral
C00128,P0039,Family Pressure,love the music choice,Neutral,0,0.6,0.24,Neutral
C00129,P0040,Loneliness,omg I needed to hear this today,Relatable,1,0.0,1.0,Relatable
C00130,P0040,Loneliness,this explains so much about me,Relatable,1,0.2,1.08,Relatable
C00131,P0040,Loneliness,I thought I was the only one who felt this way,Relatable,2,1.0,2.4,Relatable
C00132,P0040,Loneliness,I thought I was the only one who felt this way,Relatable,2,1.0,2.4,Relatable
C00133,P0040,Loneliness,crying at 2am reading this,Relatable,1,0.6,1.24,Relatable
C00134,P0040,Loneliness,how did you describe my exact thoughts,Relatable,1,0.25,1.1,Relatable
C00135,P0041,Social Anxiety,interesting,Neutral,0,0.5,0.2,Neutral
C00136,P0041,Social Anxiety,this is exactly what I go through,Relatable,1,0.25,1.1,Relatable
C00137,P0042,Family Pressure,great quality,Neutral,0,0.75,0.3,Neutral
C00138,P0042,Family Pressure,crying at 2am reading this,Relatable,1,0.6,1.24,Relatable
C00139,P0043,Career Burnout,love your page,Neutral,0,0.6,0.24,Neutral
C00140,P0043,Career Burnout,omg I needed to hear this today,Relatable,1,0.0,1.0,Relatable
C00141,P0043,Career Burnout,more of this please,Neutral,0,0.5,0.2,Neutral
C00142,P0043,Career Burnout,this is literally me,Relatable,1,0.0,1.0,Relatable
C00143,P0044,Imposter Syndrome,nice,Neutral,0,1.0,0.4,Relatable
C00144,P0044,Imposter Syndrome,this hit different,Relatable,1,0.6,1.24,Relatable
C00145,P0045,Family Pressure,what camera do you use,Neutral,0,0.0,0.0,Neutral
C00146,P0045,Family Pressure,keep it up,Neutral,0,0.0,0.0,Neutral
C00147,P0045,Family Pressure,cool content,Neutral,0,0.65,0.26,Neutral
C00148,P0046,Family Pressure,interesting,Neutral,0,0.5,0.2,Neutral
C00149,P0046,Family Pressure,I felt this in my soul,Relatable,2,0.0,2.0,Relatable
C00150,P0046,Family Pressure,the background is nice,Neutral,0,1.0,0.4,Relatable
C00151,P0047,Social Anxiety,how did you describe my exact thoughts,Relatable,1,0.25,1.1,Relatable
C00152,P0047,Social Anxiety,same energy honestly,Relatable,1,0.512,1.205,Relatable
C00153,P0047,Social Anxiety,how did you describe my exact thoughts,Relatable,1,0.25,1.1,Relatable
C00154,P0047,Social Anxiety,no because this is so accurate it hurts,Relatable,2,0.633,2.253,Relatable
C00155,P0047,Social Anxiety,who told you about my life,Relatable,2,0.0,2.0,Relatable
C00156,P0048,Loneliness,I relate to this on a spiritual level,Relatable,2,0.133,2.053,Relatable
C00157,P0048,Loneliness,I've never related to something more,Relatable,1,0.45,1.18,Relatable
C00158,P0049,Family Pressure,what app did you use for this,Neutral,0,0.0,0.0,Neutral
C00159,P0049,Family Pressure,what camera do you use,Neutral,0,0.0,0.0,Neutral
C00160,P0049,Family Pressure,nice video,Neutral,0,1.0,0.4,Relatable
C00161,P0049,Family Pressure,the background is nice,Neutral,0,1.0,0.4,Relatable
C00162,P0050,Social Anxiety,this is exactly what I go through,Relatable,1,0.25,1.1,Relatable
C00163,P0050,Social Anxiety,same energy honestly,Relatable,1,0.512,1.205,Relatable
C00164,P0050,Social Anxiety,I thought I was the only one who felt this way,Relatable,2,1.0,2.4,Relatable
C00165,P0051,Dating,cool content,Neutral,0,0.65,0.26,Neutral
C00166,P0051,Dating,what's the song name,Neutral,0,0.0,0.0,Neutral
C00167,P0052,Loneliness,keep it up,Neutral,0,0.0,0.0,Neutral
C00168,P0052,Loneliness,sending this to my therapist,Relatable,1,0.0,1.0,Relatable
C00169,P0053,Loneliness,sending this to my therapist,Relatable,1,0.0,1.0,Relatable
C00170,P0053,Loneliness,this is way too real,Relatable,0,0.3,0.12,Neutral
C00171,P0053,Loneliness,I relate to this on a spiritual level,Relatable,2,0.133,2.053,Relatable
C00172,P0053,Loneliness,I thought I was the only one who felt this way,Relatable,2,1.0,2.4,Relatable
C00173,P0053,Loneliness,stop reading my mind,Relatable,1,0.0,1.0,Relatable
C00174,P0054,Family Pressure,more of this please,Neutral,0,0.5,0.2,Neutral
C00175,P0054,Family Pressure,more of this please,Neutral,0,0.5,0.2,Neutral
C00176,P0054,Family Pressure,cute outfit,Neutral,0,1.0,0.4,Relatable
C00177,P0055,Imposter Syndrome,the way this called me out,Relatable,1,0.0,1.0,Relatable
C00178,P0055,Imposter Syndrome,stop reading my mind,Relatable,1,0.0,1.0,Relatable
C00179,P0055,Imposter Syndrome,nice,Neutral,0,1.0,0.4,Relatable
C00180,P0056,Overthinking,omg I needed to hear this today,Relatable,1,0.0,1.0,Relatable
C00181,P0056,Overthinking,omg I needed to hear this today,Relatable,1,0.0,1.0,Relatable
C00182,P0056,Overthinking,the way this called me out,Relatable,1,0.0,1.0,Relatable
C00183,P0056,Overthinking,good editing,Neutral,0,0.6,0.24,Neutral
C00184,P0057,Body Image,posted at a good time,Neutral,0,0.6,0.24,Neutral
C00185,P0057,Body Image,no because this is so accurate it hurts,Relatable,2,0.633,2.253,Relatable
C00186,P0057,Body Image,what's the song name,Neutral,0,0.0,0.0,Neutral
C00187,P0058,Financial Stress,interesting,Neutral,0,0.5,0.2,Neutral
C00188,P0058,Financial Stress,cute outfit,Neutral,0,1.0,0.4,Relatable
C00189,P0059,Body Image,I felt this so deeply,Relatable,1,0.4,1.16,Relatable
C00190,P0059,Body Image,who told you about my life,Relatable,2,0.0,2.0,Relatable
C00191,P0059,Body Image,keep it up,Neutral,0,0.0,0.0,Neutral
C00192,P0060,Body Image,I felt this in my soul,Relatable,2,0.0,2.0,Relatable
C00193,P0060,Body Image,this hit different,Relatable,1,0.6,1.24,Relatable
C00194,P0061,Body Image,who told you about my life,Relatable,2,0.0,2.0,Relatable
C00195,P0061,Body Image,I felt this in my soul,Relatable,2,0.0,2.0,Relatable
C00196,P0062,Friendship Fallouts,more of this please,Neutral,0,0.5,0.2,Neutral
C00197,P0062,Friendship Fallouts,good lighting,Neutral,0,0.6,0.24,Neutral
C00198,P0062,Friendship Fallouts,cool content,Neutral,0,0.65,0.26,Neutral
C00199,P0062,Friendship Fallouts,keep it up,Neutral,0,0.0,0.0,Neutral
C00200,P0062,Friendship Fallouts,cute outfit,Neutral,0,1.0,0.4,Relatable
C00201,P0062,Friendship Fallouts,clean transitions,Neutral,0,0.7,0.28,Neutral
C00202,P0063,Loneliness,what's the song name,Neutral,0,0.0,0.0,Neutral
C00203,P0063,Loneliness,this is way too real,Relatable,0,0.3,0.12,Neutral
C00204,P0063,Loneliness,good editing,Neutral,0,0.6,0.24,Neutral
C00205,P0064,Career Burnout,cool content,Neutral,0,0.65,0.26,Neutral
C00206,P0064,Career Burnout,this hit different,Relatable,1,0.6,1.24,Relatable
C00207,P0064,Career Burnout,clean transitions,Neutral,0,0.7,0.28,Neutral
C00208,P0064,Career Burnout,first,Neutral,0,0.333,0.133,Neutral
C00209,P0064,Career Burnout,who told you about my life,Relatable,2,0.0,2.0,Relatable
C00210,P0064,Career Burnout,this is way too real,Relatable,0,0.3,0.12,Neutral
C00211,P0065,Loneliness,this is way too real,Relatable,0,0.3,0.12,Neutral
C00212,P0065,Loneliness,stop reading my mind,Relatable,1,0.0,1.0,Relatable
C00213,P0065,Loneliness,sending this to my therapist,Relatable,1,0.0,1.0,Relatable
C00214,P0065,Loneliness,I relate to this on a spiritual level,Relatable,2,0.133,2.053,Relatable
C00215,P0065,Loneliness,cute outfit,Neutral,0,1.0,0.4,Relatable
C00216,P0065,Loneliness,omg I needed to hear this today,Relatable,1,0.0,1.0,Relatable
C00217,P0066,Friendship Fallouts,more of this please,Neutral,0,0.5,0.2,Neutral
C00218,P0066,Friendship Fallouts,I felt this in my soul,Relatable,2,0.0,2.0,Relatable
C00219,P0066,Friendship Fallouts,more of this please,Neutral,0,0.5,0.2,Neutral
C00220,P0067,Career Burnout,clean transitions,Neutral,0,0.7,0.28,Neutral
C00221,P0067,Career Burnout,how did you describe my exact thoughts,Relatable,1,0.25,1.1,Relatable
C00222,P0067,Career Burnout,nice video,Neutral,0,1.0,0.4,Relatable
C00223,P0067,Career Burnout,the way this called me out,Relatable,1,0.0,1.0,Relatable
C00224,P0068,Financial Stress,posted at a good time,Neutral,0,0.6,0.24,Neutral
C00225,P0068,Financial Stress,omg I needed to hear this today,Relatable,1,0.0,1.0,Relatable
C00226,P0068,Financial Stress,who told you about my life,Relatable,2,0.0,2.0,Relatable
C00227,P0069,Friendship Fallouts,good lighting,Neutral,0,0.6,0.24,Neutral
C00228,P0069,Friendship Fallouts,clean transitions,Neutral,0,0.7,0.28,Neutral
C00229,P0070,Career Burnout,interesting,Neutral,0,0.5,0.2,Neutral
C00230,P0070,Career Burnout,sending this to my therapist,Relatable,1,0.0,1.0,Relatable
C00231,P0071,Loneliness,I relate to this on a spiritual level,Relatable,2,0.133,2.053,Relatable
C00232,P0071,Loneliness,the way this called me out,Relatable,1,0.0,1.0,Relatable
C00233,P0071,Loneliness,wait why is this so accurate,Relatable,1,0.633,1.253,Relatable
C00234,P0072,Loneliness,this explains so much about me,Relatable,1,0.2,1.08,Relatable
C00235,P0072,Loneliness,interesting,Neutral,0,0.5,0.2,Neutral
C00236,P0072,Loneliness,this hit different,Relatable,1,0.6,1.24,Relatable
C00237,P0072,Loneliness,this explains so much about me,Relatable,1,0.2,1.08,Relatable
C00238,P0072,Loneliness,I felt this so deeply,Relatable,1,0.4,1.16,Relatable
C00239,P0073,Imposter Syndrome,no because this is so accurate it hurts,Relatable,2,0.633,2.253,Relatable
C00240,P0074,Social Anxiety,who told you about my life,Relatable,2,0.0,2.0,Relatable
C00241,P0074,Social Anxiety,clean transitions,Neutral,0,0.7,0.28,Neutral
C00242,P0074,Social Anxiety,the way this called me out,Relatable,1,0.0,1.0,Relatable
C00243,P0074,Social Anxiety,interesting,Neutral,0,0.5,0.2,Neutral
C00244,P0075,Dating,cool content,Neutral,0,0.65,0.26,Neutral
C00245,P0075,Dating,love your page,Neutral,0,0.6,0.24,Neutral
C00246,P0075,Dating,love the music choice,Neutral,0,0.6,0.24,Neutral
C00247,P0076,Financial Stress,what camera do you use,Neutral,0,0.0,0.0,Neutral
C00248,P0076,Financial Stress,the way this called me out,Relatable,1,0.0,1.0,Relatable
C00249,P0076,Financial Stress,clean transitions,Neutral,0,0.7,0.28,Neutral
C00250,P0076,Financial Stress,how did you describe my exact thoughts,Relatable,1,0.25,1.1,Relatable
C00251,P0076,Financial Stress,this explains so much about me,Relatable,1,0.2,1.08,Relatable
C00252,P0076,Financial Stress,love your page,Neutral,0,0.6,0.24,Neutral
C00253,P0077,Overthinking,sending this to my therapist,Relatable,1,0.0,1.0,Relatable
C00254,P0078,Financial Stress,more of this please,Neutral,0,0.5,0.2,Neutral
C00255,P0078,Financial Stress,love your page,Neutral,0,0.6,0.24,Neutral
C00256,P0078,Financial Stress,this is way too real,Relatable,0,0.3,0.12,Neutral
C00257,P0079,Overthinking,cute outfit,Neutral,0,1.0,0.4,Relatable
C00258,P0079,Overthinking,what app did you use for this,Neutral,0,0.0,0.0,Neutral
C00259,P0080,Social Anxiety,I felt this so deeply,Relatable,1,0.4,1.16,Relatable
C00260,P0080,Social Anxiety,omg I needed to hear this today,Relatable,1,0.0,1.0,Relatable
C00261,P0081,Financial Stress,nice video,Neutral,0,1.0,0.4,Relatable
C00262,P0081,Financial Stress,nice video,Neutral,0,1.0,0.4,Relatable
C00263,P0081,Financial Stress,what app did you use for this,Neutral,0,0.0,0.0,Neutral
C00264,P0081,Financial Stress,interesting,Neutral,0,0.5,0.2,Neutral
C00265,P0081,Financial Stress,love the music choice,Neutral,0,0.6,0.24,Neutral
C00266,P0082,Body Image,stop reading my mind,Relatable,1,0.0,1.0,Relatable
C00267,P0082,Body Image,how did you describe my exact thoughts,Relatable,1,0.25,1.1,Relatable
C00268,P0082,Body Image,interesting,Neutral,0,0.5,0.2,Neutral
C00269,P0082,Body Image,stop reading my mind,Relatable,1,0.0,1.0,Relatable
C00270,P0083,Friendship Fallouts,nice video,Neutral,0,1.0,0.4,Relatable
C00271,P0083,Friendship Fallouts,keep it up,Neutral,0,0.0,0.0,Neutral
C00272,P0083,Friendship Fallouts,what app did you use for this,Neutral,0,0.0,0.0,Neutral
C00273,P0083,Friendship Fallouts,nice video,Neutral,0,1.0,0.4,Relatable
C00274,P0083,Friendship Fallouts,following for more,Neutral,0,0.3,0.12,Neutral
C00275,P0084,Career Burnout,I felt this in my soul,Relatable,2,0.0,2.0,Relatable
C00276,P0085,Body Image,good editing,Neutral,0,0.6,0.24,Neutral
C00277,P0085,Body Image,good lighting,Neutral,0,0.6,0.24,Neutral
C00278,P0085,Body Image,same energy honestly,Relatable,1,0.512,1.205,Relatable
C00279,P0085,Body Image,sending this to my therapist,Relatable,1,0.0,1.0,Relatable
C00280,P0085,Body Image,cool content,Neutral,0,0.65,0.26,Neutral
C00281,P0085,Body Image,love your page,Neutral,0,0.6,0.24,Neutral
C00282,P0086,Imposter Syndrome,love your page,Neutral,0,0.6,0.24,Neutral
C00283,P0086,Imposter Syndrome,love your page,Neutral,0,0.6,0.24,Neutral
C00284,P0086,Imposter Syndrome,stop reading my mind,Relatable,1,0.0,1.0,Relatable
C00285,P0087,Dating,cute outfit,Neutral,0,1.0,0.4,Relatable
C00286,P0088,Body Image,this is exactly what I go through,Relatable,1,0.25,1.1,Relatable
C00287,P0088,Body Image,the way this called me out,Relatable,1,0.0,1.0,Relatable
C00288,P0088,Body Image,what's the song name,Neutral,0,0.0,0.0,Neutral
C00289,P0089,Social Anxiety,omg I needed to hear this today,Relatable,1,0.0,1.0,Relatable
C00290,P0089,Social Anxiety,this hit different,Relatable,1,0.6,1.24,Relatable
C00291,P0089,Social Anxiety,I've never related to something more,Relatable,1,0.45,1.18,Relatable
C00292,P0089,Social Anxiety,I've never related to something more,Relatable,1,0.45,1.18,Relatable
C00293,P0089,Social Anxiety,cute outfit,Neutral,0,1.0,0.4,Relatable
C00294,P0090,Loneliness,this is exactly what I go through,Relatable,1,0.25,1.1,Relatable
C00295,P0090,Loneliness,wait why is this so accurate,Relatable,1,0.633,1.253,Relatable
C00296,P0090,Loneliness,I've never related to something more,Relatable,1,0.45,1.18,Relatable
C00297,P0090,Loneliness,wait why is this so accurate,Relatable,1,0.633,1.253,Relatable
C00298,P0091,Family Pressure,love your page,Neutral,0,0.6,0.24,Neutral
C00299,P0091,Family Pressure,more of this please,Neutral,0,0.5,0.2,Neutral
C00300,P0091,Family Pressure,more of this please,Neutral,0,0.5,0.2,Neutral
C00301,P0092,Family Pressure,posted at a good time,Neutral,0,0.6,0.24,Neutral
C00302,P0092,Family Pressure,love your page,Neutral,0,0.6,0.24,Neutral
C00303,P0092,Family Pressure,clean transitions,Neutral,0,0.7,0.28,Neutral
C00304,P0093,Family Pressure,the background is nice,Neutral,0,1.0,0.4,Relatable
C00305,P0093,Family Pressure,I relate to this on a spiritual level,Relatable,2,0.133,2.053,Relatable
C00306,P0093,Family Pressure,first,Neutral,0,0.333,0.133,Neutral
C00307,P0093,Family Pressure,cute outfit,Neutral,0,1.0,0.4,Relatable
C00308,P0094,Friendship Fallouts,who told you about my life,Relatable,2,0.0,2.0,Relatable
C00309,P0094,Friendship Fallouts,interesting,Neutral,0,0.5,0.2,Neutral
C00310,P0095,Imposter Syndrome,this hit different,Relatable,1,0.6,1.24,Relatable
C00311,P0095,Imposter Syndrome,wait why is this so accurate,Relatable,1,0.633,1.253,Relatable
C00312,P0095,Imposter Syndrome,love your page,Neutral,0,0.6,0.24,Neutral
C00313,P0095,Imposter Syndrome,the background is nice,Neutral,0,1.0,0.4,Relatable
C00314,P0095,Imposter Syndrome,wait why is this so accurate,Relatable,1,0.633,1.253,Relatable
C00315,P0096,Family Pressure,more of this please,Neutral,0,0.5,0.2,Neutral
C00316,P0096,Family Pressure,first,Neutral,0,0.333,0.133,Neutral
C00317,P0097,Imposter Syndrome,I relate to this on a spiritual level,Relatable,2,0.133,2.053,Relatable
C00318,P0097,Imposter Syndrome,what's the song name,Neutral,0,0.0,0.0,Neutral
C00319,P0098,Financial Stress,this explains so much about me,Relatable,1,0.2,1.08,Relatable
C00320,P0098,Financial Stress,love your page,Neutral,0,0.6,0.24,Neutral
C00321,P0099,Family Pressure,keep it up,Neutral,0,0.0,0.0,Neutral
C00322,P0099,Family Pressure,omg I needed to hear this today,Relatable,1,0.0,1.0,Relatable
C00323,P0100,Loneliness,love your page,Neutral,0,0.6,0.24,Neutral
C00324,P0100,Loneliness,I felt this in my soul,Relatable,2,0.0,2.0,Relatable
C00325,P0100,Loneliness,same energy honestly,Relatable,1,0.512,1.205,Relatable
C00326,P0101,Social Anxiety,crying at 2am reading this,Relatable,1,0.6,1.24,Relatable
C00327,P0101,Social Anxiety,stop reading my mind,Relatable,1,0.0,1.0,Relatable
C00328,P0101,Social Anxiety,the way this called me out,Relatable,1,0.0,1.0,Relatable
C00329,P0101,Social Anxiety,sending this to my therapist,Relatable,1,0.0,1.0,Relatable
C00330,P0102,Social Anxiety,crying at 2am reading this,Relatable,1,0.6,1.24,Relatable
C00331,P0102,Social Anxiety,I've never related to something more,Relatable,1,0.45,1.18,Relatable
